district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
calicut,Chevayoor,₹1.36 Cr,13600000,17 sqft,17,,800000,0.03902663,348480000
calicut,Chevarambalam,₹87.11 Lac,8711000,"3,994 sqft",3994,,2181.021532,9.168962351,950052.9795
calicut,Vengeri,₹1.5 Cr,15000000,"10,890 sqft",10890,,1377.410468,25,600000
calicut,Chelannur,₹1.23 Cr,12300000,"15,246 sqft",15246,,806.7689886,35,351428.5714
calicut,Bilathikkulam,₹1.28 Cr,12800000,"3,484 sqft",3484,,3673.938002,7.998163453,1600367.394
calicut,Kakkur,₹39 Lac,3900000,"5,662 sqft",5662,,688.8025433,12.99816345,300042.3878
calicut,Chevarambalam,₹2.4 Cr,24000000,"8,712 sqft",8712,,2754.820937,20,1200000
calicut,Kuttikkattoor,₹52 Lac,5200000,8 sqft,8,,650000,0.018365473,283140000
calicut,Ashokapuram,₹1.8 Cr,18000000,"3,920 sqft",3920,,4591.836735,8.999081726,2000204.082
calicut,Parambil Bazar,₹90 Lac,9000000,"13,068 sqft",13068,,688.7052342,30,300000
calicut,Eranhippalam,₹1.31 Cr,13100000,"3,811 sqft",3811,,3437.418001,8.748852158,1497339.281
calicut,Eranhipaalam,₹4.5 Cr,45000000,"9,801 sqft",9801,,4591.368228,22.5,2000000
calicut,Kallai,₹36 Lac,3600000,"1,306 sqft",1306,,2756.508423,2.998163453,1200735.069
calicut,Annassery,₹48 Lac,4800000,"6,969 sqft",6969,,688.7645286,15.99862259,300025.8287
calicut,Poovattuparamba,₹50 Lac,5000000,"8,712 sqft",8712,,573.9210285,20,250000
calicut,Chathamangalam,₹33 Lac,3300000,"4,791 sqft",4791,,688.791484,10.99862259,300037.5704
calicut,Kannanchery,₹30 Lac,3000000,"1,306 sqft",1306,,2297.090352,2.998163453,1000612.557
calicut,Parambil Bazar,₹22.5 Lac,2250000,"2,178 sqft",2178,,1033.057851,5,450000
calicut,Chalakkara,₹1.44 Cr,14400000,24 sqft,24,,600000,0.055096419,261360000
calicut,Kakkodi,₹25 Lac,2500000,"2,178 sqft",2178,,1147.842057,5,500000
